id,Domisili,Apakah Anda Mahasiswa / Fresh Graduate,Pekerjaan & Instansi Saat Ini,Tools yang Ingin Dipelajari,Target Join Komunitas,Tau Seara Data Dari Mana?,Provinsi,Cari Kerja
400,Jakarta selatan,Ya,Mahasiswa UPNVJ,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jakarta,1
401,Depok,Tidak,Valuation,"Excel, Yg relevan untuk project",Upskill,Teman,Jawa Barat,0
402,Jakarta Utara,Ya,Magang & BSI,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jakarta,1
403,Depok,Ya,Mahasiswa,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
404,Purbalingga,Tidak,Unemployeed,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",Switch Career,LinkedIn,Jawa Tengah,0
405,Tegal,Ya,Universitas Harkat Negeri ,"Excel, SQL, Python, Databases","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Tengah,1
406,Bekasi,Tidak,Karyawan swasta,"Excel, SQL, Python","Upskill, Networking",LinkedIn,Jawa Barat,0
407,Jakarta Selatan,Tidak,Konsultan Junior - Kementerian PPN/Bappenas Indonesia,"Excel, SQL, Python, Power BI, Databases, Tableau, Azure, AWS, Fabric","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jakarta,1
408,Jakarta Selatan,Ya,Mahasiswa,"Excel, Python, Databases","Cari Kerja, Upskill, Networking",LinkedIn,Jakarta,1
409,Kalimantan Selatan ,Ya,mahasiswa ,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",Instagram,Kalimantan Selatan,1
410,Palembang,Ya,Data Scientist,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Sumatera Selatan,1
411,Musi Banyuasin,Ya,UIN Syarif Hidayatullah Jakarta ,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Sumatera Selatan,1
412,Musi Banyuasin,Ya,UIN Syarif Hidayatullah Jakarta ,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Sumatera Selatan,1
413,Makassar,Tidak,Telkomunikasi,"SQL, Power BI, Databases, Tableau","Upskill, Networking, Switch Career",LinkedIn,Sulawesi Selatan,0
414,Karawang,Ya,ITS,"Excel, SQL, Python, Power BI, Looker Studio, Tableau","Cari Kerja, Upskill",LinkedIn,Jawa Barat,1
415,Medan,Ya,Mahasiswa,"Python, Tableau","Upskill, Networking",LinkedIn,Sumatera Utara,0
416,Bekasi,Ya,Project Management,"Excel, SQL, Python, Power BI, Databases","Cari Kerja, Upskill, Switch Career",LinkedIn,Jawa Barat,1
417,Sidoarjo,Ya,Universitas Airlangga,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Upskill, Networking",LinkedIn,Jawa Timur,0
418,SIdoarjo,Ya,Universitas Airlangga,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",Upskill,LinkedIn,Jawa Timur,0
419,Surabaya,Ya,Freshgrad ,"Excel, SQL, Python, Looker Studio, Tableau","Upskill, Networking, Switch Career",LinkedIn,Jawa Timur,0
420,Jakarta Utara,Tidak,Quality Management System,"SQL, Python, Power BI, Databases",Upskill,LinkedIn,Jakarta,0
421,Jakarta Pusat,Ya,Badan Pusat Statistik RI,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jakarta,1
422,Depok,Tidak,-,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
423,Kalimantan Selatan,Tidak,Admin PT. Global Energitama,"Excel, SQL, Power BI, Databases","Upskill, Networking",LinkedIn,Kalimantan Selatan,0
424,Jakarta Selatan,Ya,Growth ecommerce & start up,"Excel, SQL, Python, Power BI","Cari Kerja, Upskill, Switch Career",LinkedIn,Jakarta,1
425,Bekasi,Tidak,Resign before HR Database,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, R program ","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
426,Kota Bekasi ,Tidak,Free,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill",Teman,Jawa Barat,1
427,Banten,Ya,Mahasiswa,"Excel, SQL, Python, Power BI, Databases","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Banten,1
428,Tangerang,Ya,Mahasiswa,Python,"Cari Kerja, Upskill, Networking",LinkedIn,Banten,1
429,BSD,Tidak,PT BFI FINANCE TBK,"Excel, SQL, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Banten,1
430,Jogja,Ya,-,"SQL, Databases","Cari Kerja, Upskill, Networking",LinkedIn,DI Yogyakarta,1
431,pekanbaru,Tidak,Telkomunikasi,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Riau,1
432,Bandung,Tidak,Other ,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",Cari Kerja,LinkedIn,Jawa Barat,1
433,Bandung,Tidak,Writer,"Excel, SQL, Power BI, Looker Studio, Databases","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1
434,Jakarta Selatan,Ya,Commercial Data Strategy & Insight - Yokke,"Excel, SQL, Python, Power BI, Tableau","Upskill, Networking",LinkedIn,Jakarta,0
435,Semarang,Ya,Mahasiswa/UNDIP,"SQL, Python, Databases","Upskill, Networking",LinkedIn,Jawa Tengah,0
436,Klaten,Tidak,Data Analyst,"SQL, Python, Power BI, Databases, Data Engineering","Upskill, Networking",LinkedIn,Jawa Tengah,0
437,Tangerang,Ya,Freelance,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, Kafka","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Banten,1
438,Sukabumi,Ya,Mahasiswa Universitas Nusa Putra,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
439,Depok,Tidak,Organization Development Specialist,"Excel, SQL, Python, Power BI, Databases","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
440,Banyumas,Ya,Mahasiswa tingkat akhir,"Excel, SQL, Python, Databases","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Tengah,1
441,Jakarta,Tidak,Kapal Api,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Upskill, Networking",LinkedIn,Jakarta,0
442,Jakarta,Tidak,Data Analyst - Komdigi,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, Pentaho","Cari Kerja, Upskill, Networking",LinkedIn,Jakarta,1
443,Surakarta ,Ya,Staff Toko,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Tengah,1
444,Kalimantan Selatan,Ya,Mahasiswa ,"Excel, Databases","Cari Kerja, Upskill",LinkedIn,Kalimantan Selatan,1
445,Bogor,Ya,Freelance - Tutor Private Les,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1
446,Yogyakarta ,Ya,-,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,DI Yogyakarta,1
447,Banten,Tidak,UNIVERSITAS TERBUKA,"Excel, SQL, Python, Power BI, Looker Studio, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Banten,1
448,Tangerang,Ya,PT. Sinergi Adhi Pratama Abadi,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, Data Science, Bigquery","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Banten,1
